    -0.785      0.535      0.464     -1.198     -1.143     -1.266      0.825      0.047      0.000      0.022      0.931      4.000  895
    -1.260     -0.846     -0.026      0.273      0.123      0.543      0.289      0.470      0.000      0.204      0.326      1.000 1245
     0.570      1.331     -1.050     -0.452      0.478     -0.202     -0.791      0.050      0.464      0.437      0.048      2.000 1847
     0.950     -1.135      1.883     -0.207      1.292      0.854     -1.156      0.002      0.000      0.029      0.969      4.000 1255
     1.308     -1.137      1.020     -0.856      1.404      1.170      0.634      0.000      0.000      0.152      0.848      4.000  645
    -1.332      0.427     -0.612     -0.518     -2.117     -0.125      0.165      0.000      0.000      0.018      0.981      4.000 1188
    -0.683      0.454     -0.585     -1.391     -0.320     -1.310      0.169      0.712      0.000      0.067      0.220      1.000  757
    -0.715     -0.271      2.216      0.569     -0.655     -0.719      0.218      0.446      0.000      0.002      0.552      4.000  521
    -0.145     -0.676      1.754     -0.408      0.803      0.243     -0.088      0.452      0.029      0.046      0.472      4.000  930
    -0.606     -0.549      0.683     -0.589     -1.258      0.791      0.482      0.044      0.000      0.041      0.915      4.000 1128
    -0.241     -1.629      0.490      0.175      0.043      0.640     -0.624      0.286      0.000      0.204      0.510      4.000 1238
    -1.666     -0.099      0.623      0.288     -0.343      0.332      0.045      0.620      0.000      0.069      0.311      1.000  557
    -0.680      0.604     -0.545      0.529      1.318      0.399      0.655      0.009      0.000      0.686      0.305      3.000  821
    -0.532     -1.063      1.071     -2.086      0.006     -0.171     -0.535      0.529      0.000      0.017      0.454      1.000 1062
    -0.487     -0.268      1.194     -1.367     -0.322     -0.821     -0.072      0.835      0.000      0.012      0.154      1.000 1375
    -0.930      1.289      1.033     -0.840     -1.529     -2.703      0.894      0.000      0.000      0.000      1.000      4.000 1524
     0.981     -0.192     -0.666      0.141     -0.421     -0.364     -0.324      0.126      0.004      0.770      0.100      3.000  356
    -2.227     -0.148     -0.001     -0.448     -0.364     -0.494     -1.705      0.333      0.000      0.037      0.630      4.000  925
    -0.827      0.288      0.281      0.147      0.533      0.938      0.939      0.177      0.000      0.289      0.534      4.000  555
    -0.768      0.645     -0.940      1.325     -1.551     -1.313      1.088      0.000      0.000      0.012      0.988      4.000  306
     0.265     -1.957      0.063      0.948      1.080      1.470      0.856      0.000      0.000      0.069      0.931      4.000  788
     0.348     -1.169      0.352      1.808      1.968     -1.860     -0.742      0.000      0.000      0.020      0.980      4.000  769
    -0.820     -0.728      0.910     -0.370     -1.037     -0.356      1.498      0.013      0.000      0.014      0.973      4.000 1096
    -1.252     -0.050     -0.388      0.754      0.116     -1.148     -0.116      0.689      0.000      0.119      0.192      1.000  922
     0.283     -0.998     -0.258      0.995     -1.031      0.875      0.545      0.008      0.000      0.184      0.808      4.000  565
     0.521      0.035     -0.897      1.085     -2.939      1.259      1.385      0.000      0.000      0.000      1.000      4.000 1184
    -0.025     -0.878     -0.031      0.520      0.092     -0.763     -0.860      0.616      0.000      0.239      0.145      1.000 1033
